tract_id,tract_name,borough,disability_rate,senior_rate,poverty_rate,total_population,need_score,has_accessible_station,accessible_station_count,nearest_accessible_station_id,nearest_accessible_station_name,nearest_accessible_distance_meters,gap_score,gap_label
36061030900,Census Tract 309; New York County; New York,Manhattan,0.2690,0.1249,0.4070,10529,0.2670,false,0,143,Inwood-207 St,1188.21,0.2670,gap
36061000600,Census Tract 6; New York County; New York,Manhattan,0.1208,0.2650,0.3660,10179,0.2506,false,0,410,Canal St,1183.45,0.2506,gap
36061022500,Census Tract 225; New York County; New York,Manhattan,0.1917,0.2052,0.2454,10605,0.2141,false,0,153,125 St,1423.19,0.2141,gap
36061013601,Census Tract 136.01; New York County; New York,Manhattan,0.0389,0.5774,0.0027,1711,0.2063,false,0,476,86 St,802.85,0.2063,gap
36061024302,Census Tract 243.02; New York County; New York,Manhattan,0.1495,0.1218,0.3026,7234,0.1913,false,0,148,168 St,1044.05,0.1913,gap
36061002400,Census Tract 24; New York County; New York,Manhattan,0.1331,0.2508,0.1811,4019,0.1883,false,0,119,1 Av,1026.86,0.1883,gap
36061001002,Census Tract 10.02; New York County; New York,Manhattan,0.0910,0.1910,0.2829,6098,0.1883,false,0,119,1 Av,1566.88,0.1883,gap
36061024100,Census Tract 241; New York County; New York,Manhattan,0.1839,0.2064,0.1622,8068,0.1842,false,0,148,168 St,914.96,0.1842,gap
36061017000,Census Tract 170; New York County; New York,Manhattan,0.1184,0.1626,0.2591,8746,0.1800,false,0,475,96 St,844.78,0.1800,gap
36061019300,Census Tract 193; New York County; New York,Manhattan,0.1528,0.1782,0.1958,9652,0.1756,false,0,310,96 St,1139.26,0.1756,gap
36061018400,Census Tract 184; New York County; New York,Manhattan,0.1477,0.1227,0.2432,7818,0.1712,false,0,392,125 St,800.40,0.1712,gap
36061000202,Census Tract 2.02; New York County; New York,Manhattan,0.0979,0.2257,0.1724,6934,0.1653,false,0,410,Canal St,1754.36,0.1653,gap
36061023600,Census Tract 236; New York County; New York,Manhattan,0.1853,0.1624,0.1384,10061,0.1620,false,0,438,135 St,1249.21,0.1620,gap
36061002201,Census Tract 22.01; New York County; New York,Manhattan,0.1075,0.1990,0.1677,6437,0.1581,false,0,119,1 Av,1316.38,0.1581,gap
