station_id,station_name,borough,latitude,longitude,ada_status,catchment_minutes,catchment_radius_meters,covered_tract_count,covered_population,nearby_gap_tract_count,nearby_gap_population,mean_need_score,reliability_score,reliability_label,outage_minutes,network_connection_count,daytime_routes,structure,analysis_method
7,Lexington Av/59 St,Manhattan,40.76266,-73.967258,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,43200,0,N R W,Subway,euclidean
8,5 Av/59 St,Manhattan,40.764811,-73.973347,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,N R W,Subway,euclidean
9,57 St-7 Av,Manhattan,40.764664,-73.980658,accessible,10,800.0,10,37579,0,0,0.1192,0.9513,at_risk,2102,0,N Q R W,Subway,euclidean
10,49 St,Manhattan,40.759901,-73.984139,partially_accessible,10,800.0,0,0,0,0,0.0,0.0,partial_access,0,0,N R W,Subway,euclidean
11,Times Sq-42 St,Manhattan,40.754672,-73.986754,accessible,10,800.0,13,25872,0,0,0.0668,0.9714,at_risk,1236,0,N Q R W,Subway,euclidean
12,34 St-Herald Sq,Manhattan,40.749567,-73.98795,accessible,10,800.0,10,30081,0,0,0.052,0.9738,at_risk,1133,0,N Q R W,Subway,euclidean
13,28 St,Manhattan,40.745494,-73.988691,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,R W,Subway,euclidean
14,23 St,Manhattan,40.741303,-73.989344,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,R W,Subway,euclidean
15,14 St-Union Sq,Manhattan,40.735736,-73.990568,accessible,10,800.0,15,77971,0,0,0.0806,0.9957,full_service,184,0,N Q R W,Subway,euclidean
16,8 St-NYU,Manhattan,40.730328,-73.992629,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,R W,Subway,euclidean
17,Prince St,Manhattan,40.724329,-73.997702,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,R W,Subway,euclidean
18,Canal St,Manhattan,40.719527,-74.001775,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,R W,Subway,euclidean
19,Canal St,Manhattan,40.718383,-74.00046,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,N Q,Subway,euclidean
20,City Hall,Manhattan,40.713282,-74.006978,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,R W,Subway,euclidean
21,Cortlandt St,Manhattan,40.710668,-74.011029,accessible,10,800.0,8,57462,0,0,0.0477,0.06,fragile,40606,0,R W,Subway,euclidean
22,Rector St,Manhattan,40.70722,-74.013342,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,R W,Subway,euclidean
23,Whitehall St-South Ferry,Manhattan,40.703087,-74.012994,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,5535,0,R W,Subway,euclidean
102,Delancey St-Essex St,Manhattan,40.718315,-73.987437,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,M J Z,Subway,euclidean
103,Bowery,Manhattan,40.72028,-73.993915,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,3296,0,J Z,Subway,euclidean
104,Canal St,Manhattan,40.718092,-73.999892,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,J Z,Subway,euclidean
105,Chambers St,Manhattan,40.713243,-74.003401,accessible,10,800.0,10,52321,0,0,0.0987,0.9819,strong,781,0,J Z,Subway,euclidean
106,Fulton St,Manhattan,40.710374,-74.007582,accessible,10,800.0,9,48405,0,0,0.0728,0.9704,at_risk,1279,0,J Z,Subway,euclidean
107,Broad St,Manhattan,40.706476,-74.011056,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,J Z,Subway,euclidean
115,8 Av,Manhattan,40.739777,-74.002578,accessible,10,800.0,11,57105,0,0,0.0889,0.9737,at_risk,1136,0,L,Subway,euclidean
116,6 Av,Manhattan,40.737335,-73.996786,accessible,10,800.0,10,52716,0,0,0.0764,0.9731,at_risk,1161,0,L,Subway,euclidean
117,14 St-Union Sq,Manhattan,40.734789,-73.99073,accessible,10,800.0,12,58817,0,0,0.077,0.9836,strong,710,0,L,Subway,euclidean
118,3 Av,Manhattan,40.732849,-73.986122,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,L,Subway,euclidean
119,1 Av,Manhattan,40.730953,-73.981628,accessible,10,800.0,13,87781,7,29803,0.1,0.9446,fragile,2395,0,L,Subway,euclidean
143,Inwood-207 St,Manhattan,40.868072,-73.919899,accessible,10,800.0,7,38223,1,10529,0.1175,0.9844,strong,672,0,A,Subway,euclidean
144,Dyckman St,Manhattan,40.865491,-73.927271,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,A,Subway,euclidean
145,190 St,Manhattan,40.859022,-73.93418,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,1321,0,A,Subway,euclidean
146,181 St,Manhattan,40.851695,-73.937969,accessible,10,800.0,10,68621,0,0,0.1139,0.8119,fragile,8126,0,A,Subway,euclidean
147,175 St,Manhattan,40.847391,-73.939704,accessible,10,800.0,8,60913,1,0,0.1281,0.9944,strong,243,0,A,Subway,euclidean
148,168 St,Manhattan,40.840719,-73.939561,accessible,10,800.0,9,63754,7,41102,0.1616,0.9232,fragile,3316,0,A C,Subway,euclidean
149,163 St-Amsterdam Av,Manhattan,40.836013,-73.939892,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C,Subway,euclidean
150,155 St,Manhattan,40.830518,-73.941514,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C,Subway,euclidean
151,145 St,Manhattan,40.824783,-73.944216,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,1460,0,A C,Subway,euclidean
152,135 St,Manhattan,40.817894,-73.947649,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C B,Subway,euclidean
153,125 St,Manhattan,40.811109,-73.952343,accessible,10,800.0,12,57338,12,65539,0.0871,0.9464,fragile,2314,0,A C B D,Subway,euclidean
154,116 St,Manhattan,40.805085,-73.954882,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C B,Subway,euclidean
155,Cathedral Pkwy (110 St),Manhattan,40.800603,-73.958161,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C B,Subway,euclidean
156,103 St,Manhattan,40.796092,-73.961454,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C B,Subway,euclidean
157,96 St,Manhattan,40.791642,-73.964696,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C B,Subway,euclidean
158,86 St,Manhattan,40.785868,-73.968916,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C B,Subway,euclidean
159,81 St-Museum of Natural History,Manhattan,40.781433,-73.972143,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C B,Subway,euclidean
160,72 St,Manhattan,40.775594,-73.97641,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C B,Subway,euclidean
161,59 St-Columbus Circle,Manhattan,40.768296,-73.981736,accessible,10,800.0,11,55265,0,0,0.1024,0.7197,fragile,12107,0,A C B D,Subway,euclidean
162,50 St,Manhattan,40.762456,-73.985984,partially_accessible,10,800.0,0,0,0,0,0.0,0.0,partial_access,4767,0,C E,Subway,euclidean
163,42 St-Port Authority Bus Terminal,Manhattan,40.757308,-73.989735,accessible,10,800.0,11,29707,1,2647,0.0947,0.0,fragile,43200,0,A C E,Subway,euclidean
164,34 St-Penn Station,Manhattan,40.752287,-73.993391,accessible,10,800.0,10,26098,0,0,0.0674,0.5425,fragile,19763,0,A C E,Subway,euclidean
165,23 St,Manhattan,40.745906,-73.998041,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,C E,Subway,euclidean
166,14 St,Manhattan,40.740893,-74.00169,accessible,10,800.0,11,63592,1,1884,0.0942,0.9857,strong,619,0,A C E,Subway,euclidean
167,W 4 St-Wash Sq,Manhattan,40.732338,-74.000495,accessible,10,800.0,11,55018,2,6098,0.0804,0.9187,fragile,3513,0,A C E,Subway,euclidean
168,Spring St,Manhattan,40.726227,-74.003739,partially_accessible,10,800.0,0,0,0,0,0.0,0.0,partial_access,124,0,C E,Subway,euclidean
169,Canal St,Manhattan,40.720824,-74.005229,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,A C E,Subway,euclidean
170,Chambers St,Manhattan,40.714111,-74.008585,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,A C,Subway,euclidean
171,World Trade Center,Manhattan,40.712582,-74.009781,accessible,10,800.0,9,54817,0,0,0.0509,0.9839,strong,695,0,E,Subway,euclidean
172,Fulton St,Manhattan,40.710197,-74.007691,accessible,10,800.0,9,48405,0,0,0.0728,0.7991,fragile,8678,0,A C,Subway,euclidean
220,155 St,Manhattan,40.830135,-73.938209,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,B D,Subway,euclidean
222,Roosevelt Island,Manhattan,40.759145,-73.95326,accessible,10,800.0,5,22818,0,0,0.0856,0.7741,fragile,9760,0,M,Subway,euclidean
223,Lexington Av/63 St,Manhattan,40.764629,-73.966113,accessible,10,800.0,14,47534,0,0,0.116,0.6419,fragile,15472,0,M Q,Subway,euclidean
224,57 St,Manhattan,40.763972,-73.97745,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,M,Subway,euclidean
225,47-50 Sts-Rockefeller Ctr,Manhattan,40.758663,-73.981329,accessible,10,800.0,13,22401,0,0,0.0941,0.9519,at_risk,2077,0,B D F M,Subway,euclidean
226,42 St-Bryant Pk,Manhattan,40.754222,-73.984569,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,1729,0,B D F M,Subway,euclidean
227,34 St-Herald Sq,Manhattan,40.749719,-73.987823,accessible,10,800.0,10,30081,0,0,0.052,0.2339,fragile,33097,0,B D F M,Subway,euclidean
228,23 St,Manhattan,40.742878,-73.992821,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,F M,Subway,euclidean
229,14 St,Manhattan,40.738228,-73.996209,accessible,10,800.0,12,62609,0,0,0.0789,0.9625,at_risk,1622,0,F M,Subway,euclidean
230,Broadway-Lafayette St,Manhattan,40.725297,-73.996204,accessible,10,800.0,13,53132,0,0,0.085,0.9091,fragile,3928,0,B D F M,Subway,euclidean
231,Grand St,Manhattan,40.718267,-73.993753,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,B D,Subway,euclidean
232,2 Av,Manhattan,40.723402,-73.989938,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,0,0,F,Subway,euclidean
233,Delancey St-Essex St,Manhattan,40.718611,-73.988114,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,3426,0,F,Subway,euclidean
234,East Broadway,Manhattan,40.713715,-73.990173,not_accessible,10,800.0,0,0,0,0,0.0,0.0,not_accessible,1406,0,F,Subway,euclidean
