station_id,name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,division,line,structure,north_direction_label,south_direction_label,accessibility_notes
24,Court St,Brooklyn,40.6941,-73.991777,620,R28,R,BMT,Broadway,Subway,Manhattan,Southbound,
25,Jay St-MetroTech,Brooklyn,40.69218,-73.985942,636,R29,R,BMT,Broadway,Subway,Manhattan,Southbound,
26,DeKalb Av,Brooklyn,40.690635,-73.981824,26,R30,B Q R,BMT,Broadway - Brighton,Subway,Manhattan,Southbound,
27,Atlantic Av-Barclays Ctr,Brooklyn,40.683666,-73.97881,617,R31,D N R,BMT,4th Av,Subway,Manhattan,Southbound,
28,Union St,Brooklyn,40.677316,-73.98311,28,R32,R,BMT,4th Av,Subway,Manhattan,Southbound,
29,4 Av-9 St,Brooklyn,40.670847,-73.988302,608,R33,R,BMT,4th Av,Subway,Manhattan,Southbound,
30,Prospect Av,Brooklyn,40.665414,-73.992872,30,R34,R,BMT,4th Av,Subway,Manhattan,Southbound,
31,25 St,Brooklyn,40.660397,-73.998091,31,R35,R,BMT,4th Av,Subway,Manhattan,Southbound,
32,36 St,Brooklyn,40.655144,-74.003549,32,R36,D N R,BMT,4th Av,Subway,Manhattan,Southbound,
33,45 St,Brooklyn,40.648939,-74.010006,33,R39,R,BMT,4th Av,Subway,Manhattan,Southbound,
34,53 St,Brooklyn,40.645069,-74.014034,34,R40,R,BMT,4th Av,Subway,Manhattan,Southbound,
35,59 St,Brooklyn,40.641362,-74.017881,35,R41,N R,BMT,4th Av,Subway,Manhattan,Southbound,
36,Bay Ridge Av,Brooklyn,40.634967,-74.023377,36,R42,R,BMT,4th Av,Subway,Manhattan,Bay Ridge,
37,77 St,Brooklyn,40.629742,-74.02551,37,R43,R,BMT,4th Av,Subway,Manhattan,Bay Ridge,
38,86 St,Brooklyn,40.622687,-74.028398,38,R44,R,BMT,4th Av,Subway,Manhattan,Bay Ridge,
39,Bay Ridge-95 St,Brooklyn,40.616622,-74.030876,39,R45,R,BMT,4th Av,Subway,Manhattan,Last Stop,
