station_id,name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,division,line,structure,north_direction_label,south_direction_label,accessibility_notes
7,Lexington Av/59 St,Manhattan,40.76266,-73.967258,613,R11,N R W,BMT,Astoria,Subway,Queens,Downtown,
8,5 Av/59 St,Manhattan,40.764811,-73.973347,8,R13,N R W,BMT,Astoria,Subway,Queens,Downtown,
9,57 St-7 Av,Manhattan,40.764664,-73.980658,9,R14,N Q R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
10,49 St,Manhattan,40.759901,-73.984139,10,R15,N R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
11,Times Sq-42 St,Manhattan,40.754672,-73.986754,611,R16,N Q R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
12,34 St-Herald Sq,Manhattan,40.749567,-73.98795,607,R17,N Q R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
13,28 St,Manhattan,40.745494,-73.988691,13,R18,R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
14,23 St,Manhattan,40.741303,-73.989344,14,R19,R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
15,14 St-Union Sq,Manhattan,40.735736,-73.990568,602,R20,N Q R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
16,8 St-NYU,Manhattan,40.730328,-73.992629,16,R21,R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
17,Prince St,Manhattan,40.724329,-73.997702,17,R22,R W,BMT,Broadway - Brighton,Subway,Uptown,Downtown,
18,Canal St,Manhattan,40.719527,-74.001775,623,R23,R W,BMT,Broadway,Subway,Uptown,Downtown,
19,Canal St,Manhattan,40.718383,-74.00046,623,Q01,N Q,BMT,Manhattan Bridge,Subway,Uptown,Downtown,
20,City Hall,Manhattan,40.713282,-74.006978,20,R24,R W,BMT,Broadway,Subway,Uptown,Downtown,
21,Cortlandt St,Manhattan,40.710668,-74.011029,624,R25,R W,BMT,Broadway,Subway,Uptown,Downtown,
22,Rector St,Manhattan,40.70722,-74.013342,22,R26,R W,BMT,Broadway,Subway,Uptown,Downtown,
23,Whitehall St-South Ferry,Manhattan,40.703087,-74.012994,635,R27,R W,BMT,Broadway,Subway,Uptown,Downtown,
102,Delancey St-Essex St,Manhattan,40.718315,-73.987437,625,M18,M J Z,BMT,Jamaica,Subway,Brooklyn,Inbound,
103,Bowery,Manhattan,40.72028,-73.993915,103,M19,J Z,BMT,Jamaica,Subway,Brooklyn,Downtown,
104,Canal St,Manhattan,40.718092,-73.999892,623,M20,J Z,BMT,Jamaica,Subway,Brooklyn,Downtown,
105,Chambers St,Manhattan,40.713243,-74.003401,622,M21,J Z,BMT,Jamaica,Subway,Brooklyn,Downtown,
106,Fulton St,Manhattan,40.710374,-74.007582,628,M22,J Z,BMT,Jamaica,Subway,Brooklyn,Downtown,
107,Broad St,Manhattan,40.706476,-74.011056,107,M23,J Z,BMT,Jamaica,Subway,Brooklyn,Last Stop,
115,8 Av,Manhattan,40.739777,-74.002578,618,L01,L,BMT,Canarsie,Subway,Last Stop,Brooklyn,
116,6 Av,Manhattan,40.737335,-73.996786,601,L02,L,BMT,Canarsie,Subway,West Side,Brooklyn,
117,14 St-Union Sq,Manhattan,40.734789,-73.99073,602,L03,L,BMT,Canarsie,Subway,West Side,Brooklyn,
118,3 Av,Manhattan,40.732849,-73.986122,118,L05,L,BMT,Canarsie,Subway,West Side,Brooklyn,
119,1 Av,Manhattan,40.730953,-73.981628,119,L06,L,BMT,Canarsie,Subway,West Side,Brooklyn,
143,Inwood-207 St,Manhattan,40.868072,-73.919899,143,A02,A,IND,8th Av - Fulton St,Subway,Last Stop,Downtown,
144,Dyckman St,Manhattan,40.865491,-73.927271,144,A03,A,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
145,190 St,Manhattan,40.859022,-73.93418,145,A05,A,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
146,181 St,Manhattan,40.851695,-73.937969,146,A06,A,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
147,175 St,Manhattan,40.847391,-73.939704,147,A07,A,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
148,168 St,Manhattan,40.840719,-73.939561,605,A09,A C,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
149,163 St-Amsterdam Av,Manhattan,40.836013,-73.939892,149,A10,C,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
150,155 St,Manhattan,40.830518,-73.941514,150,A11,C,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
151,145 St,Manhattan,40.824783,-73.944216,151,A12,A C,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
152,135 St,Manhattan,40.817894,-73.947649,152,A14,C B,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
153,125 St,Manhattan,40.811109,-73.952343,153,A15,A C B D,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
154,116 St,Manhattan,40.805085,-73.954882,154,A16,C B,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
155,Cathedral Pkwy (110 St),Manhattan,40.800603,-73.958161,155,A17,C B,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
156,103 St,Manhattan,40.796092,-73.961454,156,A18,C B,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
157,96 St,Manhattan,40.791642,-73.964696,157,A19,C B,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
158,86 St,Manhattan,40.785868,-73.968916,158,A20,C B,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
159,81 St-Museum of Natural History,Manhattan,40.781433,-73.972143,159,A21,C B,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
160,72 St,Manhattan,40.775594,-73.97641,160,A22,C B,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
161,59 St-Columbus Circle,Manhattan,40.768296,-73.981736,614,A24,A C B D,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
162,50 St,Manhattan,40.762456,-73.985984,162,A25,C E,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
163,42 St-Port Authority Bus Terminal,Manhattan,40.757308,-73.989735,611,A27,A C E,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
164,34 St-Penn Station,Manhattan,40.752287,-73.993391,164,A28,A C E,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
165,23 St,Manhattan,40.745906,-73.998041,165,A30,C E,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
166,14 St,Manhattan,40.740893,-74.00169,618,A31,A C E,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
167,W 4 St-Wash Sq,Manhattan,40.732338,-74.000495,167,A32,A C E,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
168,Spring St,Manhattan,40.726227,-74.003739,168,A33,C E,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
169,Canal St,Manhattan,40.720824,-74.005229,169,A34,A C E,IND,8th Av - Fulton St,Subway,Uptown,Downtown,
170,Chambers St,Manhattan,40.714111,-74.008585,624,A36,A C,IND,8th Av - Fulton St,Subway,Uptown,Brooklyn,
171,World Trade Center,Manhattan,40.712582,-74.009781,624,E01,E,IND,8th Av - Fulton St,Subway,Uptown,Last Stop,
172,Fulton St,Manhattan,40.710197,-74.007691,628,A38,A C,IND,8th Av - Fulton St,Subway,Uptown,Brooklyn,
220,155 St,Manhattan,40.830135,-73.938209,220,D12,B D,IND,Concourse,Subway,The Bronx,Downtown,
222,Roosevelt Island,Manhattan,40.759145,-73.95326,222,B06,M,IND,63rd St,Subway,Queens,Downtown,
223,Lexington Av/63 St,Manhattan,40.764629,-73.966113,223,B08,M Q,IND,63rd St,Subway,Uptown & Queens,Downtown,
224,57 St,Manhattan,40.763972,-73.97745,224,B10,M,IND,6th Av - Culver,Subway,Uptown,Downtown,
225,47-50 Sts-Rockefeller Ctr,Manhattan,40.758663,-73.981329,225,D15,B D F M,IND,6th Av - Culver,Subway,Uptown,Downtown,
226,42 St-Bryant Pk,Manhattan,40.754222,-73.984569,609,D16,B D F M,IND,6th Av - Culver,Subway,Uptown,Downtown,
227,34 St-Herald Sq,Manhattan,40.749719,-73.987823,607,D17,B D F M,IND,6th Av - Culver,Subway,Uptown,Downtown,
228,23 St,Manhattan,40.742878,-73.992821,228,D18,F M,IND,6th Av - Culver,Subway,Uptown,Downtown,
229,14 St,Manhattan,40.738228,-73.996209,601,D19,F M,IND,6th Av - Culver,Subway,Uptown,Downtown,
230,Broadway-Lafayette St,Manhattan,40.725297,-73.996204,619,D21,B D F M,IND,6th Av - Culver,Subway,Uptown,Downtown,
231,Grand St,Manhattan,40.718267,-73.993753,231,D22,B D,IND,6th Av - Culver,Subway,Uptown,Brooklyn,
232,2 Av,Manhattan,40.723402,-73.989938,232,F14,F,IND,6th Av - Culver,Subway,Uptown,Downtown,
233,Delancey St-Essex St,Manhattan,40.718611,-73.988114,625,F15,F,IND,6th Av - Culver,Subway,Uptown,Brooklyn,
234,East Broadway,Manhattan,40.713715,-73.990173,234,F16,F,IND,6th Av - Culver,Subway,Uptown,Brooklyn,
275,Lexington Av/53 St,Manhattan,40.757552,-73.969055,612,F11,E F,IND,Queens Blvd,Subway,Queens,Downtown,
276,5 Av/53 St,Manhattan,40.760167,-73.975224,276,F12,E F,IND,Queens Blvd,Subway,Queens,Downtown,
277,7 Av,Manhattan,40.762862,-73.981637,277,D14,E B D,IND,Queens Blvd,Subway,Outbound,Downtown,
296,Marble Hill-225 St,Manhattan,40.874561,-73.909831,296,106,1,IRT,Broadway - 7Av,Elevated,The Bronx,Downtown,
297,215 St,Manhattan,40.869444,-73.915279,297,107,1,IRT,Broadway - 7Av,Elevated,The Bronx,Downtown,
298,207 St,Manhattan,40.864621,-73.918822,298,108,1,IRT,Broadway - 7Av,Elevated,The Bronx,Downtown,
299,Dyckman St,Manhattan,40.860531,-73.925536,299,109,1,IRT,Broadway - 7Av,Elevated,The Bronx,Downtown,
300,191 St,Manhattan,40.855225,-73.929412,300,110,1,IRT,Broadway - 7Av,Subway,The Bronx,Downtown,
301,181 St,Manhattan,40.849505,-73.933596,301,111,1,IRT,Broadway - 7Av,Subway,The Bronx,Downtown,
302,168 St-Washington Hts,Manhattan,40.840556,-73.940133,605,112,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
303,157 St,Manhattan,40.834041,-73.94489,303,113,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
304,145 St,Manhattan,40.826551,-73.95036,304,114,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
305,137 St-City College,Manhattan,40.822008,-73.953676,305,115,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
306,125 St,Manhattan,40.815581,-73.958372,306,116,1,IRT,Broadway - 7Av,Elevated,Uptown,Downtown,
307,116 St-Columbia University,Manhattan,40.807722,-73.96411,307,117,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
308,Cathedral Pkwy (110 St),Manhattan,40.803967,-73.966847,308,118,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
309,103 St,Manhattan,40.799446,-73.968379,309,119,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
310,96 St,Manhattan,40.793919,-73.972323,310,120,1 2 3,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
311,86 St,Manhattan,40.788644,-73.976218,311,121,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
312,79 St,Manhattan,40.783934,-73.979917,312,122,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
313,72 St,Manhattan,40.778453,-73.98197,313,123,1 2 3,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
314,66 St-Lincoln Center,Manhattan,40.77344,-73.982209,314,124,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
315,59 St-Columbus Circle,Manhattan,40.768247,-73.981929,614,125,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
316,50 St,Manhattan,40.761728,-73.983849,316,126,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
317,Times Sq-42 St,Manhattan,40.75529,-73.987495,611,127,1 2 3,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
318,34 St-Penn Station,Manhattan,40.750373,-73.991057,318,128,1 2 3,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
319,28 St,Manhattan,40.747215,-73.993365,319,129,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
320,23 St,Manhattan,40.744081,-73.995657,320,130,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
321,18 St,Manhattan,40.74104,-73.997871,321,131,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
322,14 St,Manhattan,40.737826,-74.000201,601,132,1 2 3,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
323,Christopher St-Stonewall,Manhattan,40.733422,-74.002906,323,133,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
324,Houston St,Manhattan,40.728251,-74.005367,324,134,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
325,Canal St,Manhattan,40.722854,-74.006277,325,135,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
326,Franklin St,Manhattan,40.719318,-74.006886,326,136,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
327,Chambers St,Manhattan,40.715478,-74.009266,327,137,1 2 3,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
328,WTC Cortlandt,Manhattan,40.711835,-74.012188,328,138,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
329,Rector St,Manhattan,40.707513,-74.013783,329,139,1,IRT,Broadway - 7Av,Subway,Uptown,Downtown,
330,South Ferry,Manhattan,40.702068,-74.013664,635,142,1,IRT,Broadway - 7Av,Subway,Uptown,Last Stop,
331,Park Place,Manhattan,40.713051,-74.008811,624,228,2 3,IRT,Clark St,Subway,Uptown,Brooklyn,
332,Fulton St,Manhattan,40.709416,-74.006571,628,229,2 3,IRT,Clark St,Subway,Uptown,Brooklyn,
333,Wall St,Manhattan,40.706821,-74.0091,333,230,2 3,IRT,Clark St,Subway,Uptown,Brooklyn,
392,125 St,Manhattan,40.804138,-73.937594,392,621,4 5 6,IRT,Lexington Av,Subway,The Bronx,Downtown,
393,116 St,Manhattan,40.798629,-73.941617,393,622,6,IRT,Lexington Av,Subway,The Bronx,Downtown,
394,110 St,Manhattan,40.79502,-73.94425,394,623,6,IRT,Lexington Av,Subway,The Bronx,Downtown,
395,103 St,Manhattan,40.7906,-73.947478,395,624,6,IRT,Lexington Av,Subway,The Bronx,Downtown,
396,96 St,Manhattan,40.785672,-73.95107,396,625,6,IRT,Lexington Av,Subway,The Bronx,Downtown,
397,86 St,Manhattan,40.779492,-73.955589,397,626,4 5 6,IRT,Lexington Av,Subway,Uptown,Downtown,
398,77 St,Manhattan,40.77362,-73.959874,398,627,6,IRT,Lexington Av,Subway,Uptown,Downtown,
399,68 St-Hunter College,Manhattan,40.768141,-73.96387,399,628,6,IRT,Lexington Av,Subway,Uptown,Downtown,
400,59 St,Manhattan,40.762526,-73.967967,613,629,4 5 6,IRT,Lexington Av,Subway,Uptown,Downtown,
401,51 St,Manhattan,40.757107,-73.97192,612,630,6,IRT,Lexington Av,Subway,Uptown,Downtown,
402,Grand Central-42 St,Manhattan,40.751776,-73.976848,610,631,4 5 6,IRT,Lexington Av,Subway,Uptown,Downtown,
403,33 St,Manhattan,40.746081,-73.982076,403,632,6,IRT,Lexington Av,Subway,Uptown,Downtown,
404,28 St,Manhattan,40.74307,-73.984264,404,633,6,IRT,Lexington Av,Subway,Uptown,Downtown,
405,23 St-Baruch College,Manhattan,40.739864,-73.986599,405,634,6,IRT,Lexington Av,Subway,Uptown,Downtown,
406,14 St-Union Sq,Manhattan,40.734673,-73.989951,602,635,4 5 6,IRT,Lexington Av,Subway,Uptown,Downtown,
407,Astor Pl,Manhattan,40.730054,-73.99107,407,636,6,IRT,Lexington Av,Subway,Uptown,Downtown,
408,Bleecker St,Manhattan,40.725915,-73.994659,619,637,6,IRT,Lexington Av,Subway,Uptown,Downtown,
409,Spring St,Manhattan,40.722301,-73.997141,409,638,6,IRT,Lexington Av,Subway,Uptown,Downtown,
410,Canal St,Manhattan,40.718803,-74.000193,623,639,6,IRT,Lexington Av,Subway,Uptown,Downtown,
411,Brooklyn Bridge-City Hall,Manhattan,40.713065,-74.004131,622,640,4 5 6,IRT,Lexington Av,Subway,Uptown,Downtown,
412,Fulton St,Manhattan,40.710368,-74.009509,628,418,4 5,IRT,Lexington Av,Subway,Uptown,Downtown,
413,Wall St,Manhattan,40.707557,-74.011862,413,419,4 5,IRT,Lexington Av,Subway,Uptown,Downtown,
414,Bowling Green,Manhattan,40.704817,-74.014065,414,420,4 5,IRT,Lexington Av,Subway,Uptown,Downtown,
436,Harlem-148 St,Manhattan,40.82388,-73.93647,436,301,3,IRT,Lenox - White Plains Rd,Subway,Last Stop,Downtown,
437,145 St,Manhattan,40.820421,-73.936245,437,302,3,IRT,Lenox - White Plains Rd,Subway,Harlem,Downtown,
438,135 St,Manhattan,40.814229,-73.94077,438,224,2 3,IRT,Lenox - White Plains Rd,Subway,Uptown,Downtown,
439,125 St,Manhattan,40.807754,-73.945495,439,225,2 3,IRT,Lenox - White Plains Rd,Subway,Uptown,Downtown,
440,116 St,Manhattan,40.802098,-73.949625,440,226,2 3,IRT,Lenox - White Plains Rd,Subway,Uptown,Downtown,
441,110 St-Malcolm X Plaza,Manhattan,40.799075,-73.951822,441,227,2 3,IRT,Lenox - White Plains Rd,Subway,Uptown,Downtown,
465,Grand Central-42 St,Manhattan,40.751431,-73.976041,610,723,7,IRT,Flushing,Subway,Queens,Hudson Yards,
466,5 Av,Manhattan,40.753821,-73.981963,609,724,7,IRT,Flushing,Subway,Queens,Hudson Yards,
467,Times Sq-42 St,Manhattan,40.755477,-73.987691,611,725,7,IRT,Flushing,Subway,Queens,Hudson Yards,
468,Times Sq-42 St,Manhattan,40.755983,-73.986229,611,902,S,IRT,Lexington - Shuttle,Subway,Last Stop,Grand Central,
469,Grand Central-42 St,Manhattan,40.752769,-73.979189,610,901,S,IRT,Lexington - Shuttle,Subway,Times Square,Last Stop,
471,34 St-Hudson Yards,Manhattan,40.755882,-74.00191,471,726,7,IRT,Flushing,Subway,Last Stop,Queens,
475,96 St,Manhattan,40.784318,-73.947152,475,Q05,Q,IND,Second Av,Subway,Last Stop,Downtown,
476,86 St,Manhattan,40.777891,-73.951787,476,Q04,Q,IND,Second Av,Subway,Uptown,Downtown,
477,72 St,Manhattan,40.768799,-73.958424,477,Q03,Q,IND,Second Av,Subway,Uptown,Downtown,
