station_id,ada_status,notes
210,not_accessible,
211,accessible,
212,accessible,
213,not_accessible,
214,not_accessible,
215,accessible,
216,not_accessible,
217,not_accessible,
218,not_accessible,
219,accessible,
293,not_accessible,
294,not_accessible,
295,accessible,
360,accessible,
361,not_accessible,
362,not_accessible,
363,accessible,
364,not_accessible,
365,not_accessible,
366,accessible,
367,not_accessible,
368,not_accessible,
369,not_accessible,
370,not_accessible,
371,accessible,
372,not_accessible,
373,accessible,
374,not_accessible,
375,not_accessible,
376,not_accessible,
377,not_accessible,
378,not_accessible,
379,accessible,
380,not_accessible,
381,not_accessible,
382,accessible,
383,not_accessible,
384,not_accessible,
385,not_accessible,
386,not_accessible,
387,accessible,
388,not_accessible,
389,accessible,
390,not_accessible,
391,not_accessible,
416,not_accessible,
417,not_accessible,
418,accessible,
419,not_accessible,
420,not_accessible,
421,accessible,
422,not_accessible,
423,not_accessible,
424,accessible,
425,not_accessible,
426,accessible,
427,not_accessible,
428,not_accessible,
429,not_accessible,
430,accessible,
431,not_accessible,
432,not_accessible,
433,not_accessible,
434,accessible,
435,not_accessible,
442,not_accessible,
443,not_accessible,
444,accessible,
445,not_accessible,
446,not_accessible,
