station_id,name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,division,line,structure,north_direction_label,south_direction_label,accessibility_notes
210,Norwood-205 St,Bronx,40.874811,-73.878855,210,D01,D,IND,Concourse,Subway,Last Stop,Manhattan,
211,Bedford Park Blvd,Bronx,40.873244,-73.887138,211,D03,B D,IND,Concourse,Subway,Northbound,Manhattan,
212,Kingsbridge Rd,Bronx,40.866978,-73.893509,212,D04,B D,IND,Concourse,Subway,Northbound,Manhattan,
213,Fordham Rd,Bronx,40.861296,-73.897749,213,D05,B D,IND,Concourse,Subway,Northbound,Manhattan,
214,182-183 Sts,Bronx,40.856093,-73.900741,214,D06,B D,IND,Concourse,Subway,Northbound,Manhattan,
215,Tremont Av,Bronx,40.85041,-73.905227,215,D07,B D,IND,Concourse,Subway,Northbound,Manhattan,
216,174-175 Sts,Bronx,40.8459,-73.910136,216,D08,B D,IND,Concourse,Subway,Northbound,Manhattan,
217,170 St,Bronx,40.839306,-73.9134,217,D09,B D,IND,Concourse,Subway,Northbound,Manhattan,
218,167 St,Bronx,40.833771,-73.91844,218,D10,B D,IND,Concourse,Subway,Northbound,Manhattan,
219,161 St-Yankee Stadium,Bronx,40.827905,-73.925651,604,D11,B D,IND,Concourse,Subway,Northbound,Manhattan,
293,Van Cortlandt Park-242 St,Bronx,40.889248,-73.898583,293,101,1,IRT,Broadway - 7Av,Elevated,Last Stop,Manhattan,
294,238 St,Bronx,40.884667,-73.90087,294,103,1,IRT,Broadway - 7Av,Elevated,Van Cortlandt,Manhattan,
295,231 St,Bronx,40.878856,-73.904834,295,104,1,IRT,Broadway - 7Av,Elevated,Van Cortlandt,Manhattan,
360,Pelham Bay Park,Bronx,40.852462,-73.828121,360,601,6,IRT,Pelham,Elevated,Last Stop,Manhattan,
361,Buhre Av,Bronx,40.84681,-73.832569,361,602,6,IRT,Pelham,Elevated,Pelham Bay,Manhattan,
