station_id,ada_status,notes
7,not_accessible,
8,not_accessible,
9,accessible,
10,partially_accessible,
11,accessible,
12,accessible,
13,not_accessible,
14,not_accessible,
15,accessible,
16,not_accessible,
17,not_accessible,
18,not_accessible,
19,not_accessible,
20,not_accessible,
21,accessible,
22,not_accessible,
23,not_accessible,
102,not_accessible,
103,not_accessible,
104,not_accessible,
105,accessible,
106,accessible,
107,not_accessible,
115,accessible,
116,accessible,
117,accessible,
118,not_accessible,
119,accessible,
143,accessible,
144,not_accessible,
145,not_accessible,
146,accessible,
147,accessible,
148,accessible,
149,not_accessible,
150,not_accessible,
151,not_accessible,
152,not_accessible,
153,accessible,
154,not_accessible,
155,not_accessible,
156,not_accessible,
157,not_accessible,
158,not_accessible,
159,not_accessible,
160,not_accessible,
161,accessible,
162,partially_accessible,
163,accessible,
164,accessible,
165,not_accessible,
166,accessible,
167,accessible,
168,partially_accessible,
169,not_accessible,
170,not_accessible,
171,accessible,
172,accessible,
220,not_accessible,
222,accessible,
223,accessible,
224,not_accessible,
225,accessible,
226,not_accessible,
227,accessible,
228,not_accessible,
229,accessible,
230,accessible,
231,not_accessible,
232,not_accessible,
233,not_accessible,
234,not_accessible,
275,accessible,
276,not_accessible,
277,not_accessible,
296,not_accessible,
297,not_accessible,
298,not_accessible,
299,accessible,
300,not_accessible,
301,not_accessible,
302,not_accessible,
303,not_accessible,
304,not_accessible,
305,not_accessible,
306,not_accessible,
307,not_accessible,
308,not_accessible,
309,not_accessible,
310,accessible,
311,not_accessible,
312,not_accessible,
313,accessible,
314,accessible,
315,accessible,
316,not_accessible,
317,accessible,
318,accessible,
319,not_accessible,
320,not_accessible,
321,not_accessible,
322,accessible,
323,not_accessible,
324,not_accessible,
325,not_accessible,
326,not_accessible,
327,accessible,
328,accessible,
329,not_accessible,
330,accessible,
331,not_accessible,
332,accessible,
333,not_accessible,
392,accessible,
393,not_accessible,
394,not_accessible,
395,not_accessible,
396,not_accessible,
397,partially_accessible,
398,not_accessible,
399,accessible,
400,not_accessible,
401,accessible,
402,accessible,
403,not_accessible,
404,partially_accessible,
405,accessible,
406,not_accessible,
407,not_accessible,
408,accessible,
409,not_accessible,
410,accessible,
411,accessible,
412,accessible,
413,not_accessible,
414,accessible,
436,not_accessible,
437,not_accessible,
438,accessible,
439,not_accessible,
440,not_accessible,
441,not_accessible,
465,accessible,
466,not_accessible,
467,accessible,
468,accessible,
469,accessible,
471,accessible,
475,accessible,
476,accessible,
477,accessible,
