station_id,name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,division,line,structure,north_direction_label,south_direction_label,accessibility_notes
1,Astoria-Ditmars Blvd,Queens,40.775036,-73.912034,1,R01,N W,BMT,Astoria,Elevated,Last Stop,Manhattan,
2,Astoria Blvd,Queens,40.770258,-73.917843,2,R03,N W,BMT,Astoria,Elevated,Astoria,Manhattan,
3,30 Av,Queens,40.766779,-73.921479,3,R04,N W,BMT,Astoria,Elevated,Astoria,Manhattan,
4,Broadway,Queens,40.76182,-73.925508,4,R05,N W,BMT,Astoria,Elevated,Astoria,Manhattan,
5,36 Av,Queens,40.756804,-73.929575,5,R06,N W,BMT,Astoria,Elevated,Astoria,Manhattan,
6,39 Av-Dutch Kills,Queens,40.752882,-73.932755,6,R08,N W,BMT,Astoria,Elevated,Astoria,Manhattan,
80,121 St,Queens,40.700492,-73.828294,80,J12,J Z,BMT,Jamaica,Elevated,Jamaica,Manhattan,
81,111 St,Queens,40.697418,-73.836345,81,J13,J,BMT,Jamaica,Elevated,Jamaica,Manhattan,
82,104 St,Queens,40.695178,-73.84433,82,J14,J Z,BMT,Jamaica,Elevated,Jamaica,Manhattan,
83,Woodhaven Blvd,Queens,40.693879,-73.851576,83,J15,J Z,BMT,Jamaica,Elevated,Jamaica,Manhattan,
84,85 St-Forest Pkwy,Queens,40.692435,-73.86001,84,J16,J,BMT,Jamaica,Elevated,Jamaica,Manhattan,
85,75 St-Elderts Ln,Queens,40.691324,-73.867139,85,J17,J Z,BMT,Jamaica,Elevated,Jamaica,Manhattan,
108,Middle Village-Metropolitan Av,Queens,40.711396,-73.889601,108,M01,M,BMT,Myrtle Av,Elevated,Inbound,Last Stop,
109,Fresh Pond Rd,Queens,40.706186,-73.895877,109,M04,M,BMT,Myrtle Av,Elevated,Inbound,Middle Village,
110,Forest Av,Queens,40.704423,-73.903077,110,M05,M,BMT,Myrtle Av,Elevated,Inbound,Middle Village,
111,Seneca Av,Queens,40.702762,-73.90774,111,M06,M,BMT,Myrtle Av,Elevated,Inbound,Middle Village,
129,Halsey St,Queens,40.695602,-73.904084,129,L19,L,BMT,Canarsie,Subway,Manhattan,Outbound,
190,80 St,Queens,40.679371,-73.858992,190,A59,A,IND,Liberty Av,Elevated,Manhattan,Outbound,
191,88 St,Queens,40.679843,-73.85147,191,A60,A,IND,Liberty Av,Elevated,Manhattan,Outbound,
192,Rockaway Blvd,Queens,40.680429,-73.843853,192,A61,A,IND,Liberty Av,Elevated,Manhattan,Outbound,
193,104 St,Queens,40.681711,-73.837683,193,A63,A,IND,Liberty Av,Elevated,Manhattan,Ozone Park,
194,111 St,Queens,40.684331,-73.832163,194,A64,A,IND,Liberty Av,Elevated,Manhattan,Ozone Park,
195,Ozone Park-Lefferts Blvd,Queens,40.685951,-73.825798,195,A65,A,IND,Liberty Av,Elevated,Manhattan,Last Stop,
196,Aqueduct Racetrack,Queens,40.672097,-73.835919,196,H01,A,IND,Rockaway,At Grade,Manhattan,Rockaways,
197,Aqueduct-N Conduit Av,Queens,40.668234,-73.834058,197,H02,A,IND,Rockaway,At Grade,Manhattan,Rockaways,
198,Howard Beach-JFK Airport,Queens,40.660476,-73.830301,198,H03,A,IND,Rockaway,At Grade,Manhattan,Rockaways,
199,Broad Channel,Queens,40.608382,-73.815925,199,H04,A S,IND,Rockaway,At Grade,Inbound,Rockaways,
