station_id,name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,division,line,structure,north_direction_label,south_direction_label,accessibility_notes
501,St George,Staten Island,40.643748,-74.073643,501,S31,SIR,SIR,Staten Island,Open Cut,Last Stop,South Shore,
502,Tompkinsville,Staten Island,40.636949,-74.074835,502,S30,SIR,SIR,Staten Island,At Grade,Ferry,South Shore,
503,Stapleton,Staten Island,40.627915,-74.075162,503,S29,SIR,SIR,Staten Island,Elevated,Ferry,South Shore,
504,Clifton,Staten Island,40.621319,-74.071402,504,S28,SIR,SIR,Staten Island,Elevated,Ferry,South Shore,
505,Grasmere,Staten Island,40.603117,-74.084087,505,S27,SIR,SIR,Staten Island,Open Cut,Ferry,South Shore,
506,Old Town,Staten Island,40.596612,-74.087368,506,S26,SIR,SIR,Staten Island,Embankment,Ferry,South Shore,
507,Dongan Hills,Staten Island,40.588849,-74.09609,507,S25,SIR,SIR,Staten Island,Embankment,Ferry,South Shore,
508,Jefferson Av,Staten Island,40.583591,-74.103338,508,S24,SIR,SIR,Staten Island,Embankment,Ferry,South Shore,
509,Grant City,Staten Island,40.578965,-74.109704,509,S23,SIR,SIR,Staten Island,Open Cut,Ferry,South Shore,
510,New Dorp,Staten Island,40.57348,-74.11721,510,S22,SIR,SIR,Staten Island,Open Cut,Ferry,South Shore,
511,Oakwood Heights,Staten Island,40.56511,-74.12632,511,S21,SIR,SIR,Staten Island,Open Cut,Ferry,South Shore,
512,Bay Terrace,Staten Island,40.5564,-74.136907,512,S20,SIR,SIR,Staten Island,Embankment,Ferry,South Shore,
513,Great Kills,Staten Island,40.551231,-74.151399,513,S19,SIR,SIR,Staten Island,Open Cut,Ferry,South Shore,
514,Eltingville,Staten Island,40.544601,-74.16457,514,S18,SIR,SIR,Staten Island,Embankment,Ferry,South Shore,
515,Annadale,Staten Island,40.54046,-74.178217,515,S17,SIR,SIR,Staten Island,Open Cut,Ferry,South Shore,
516,Huguenot,Staten Island,40.533674,-74.191794,516,S16,SIR,SIR,Staten Island,Open Cut,Ferry,South Shore,
517,Prince's Bay,Staten Island,40.525507,-74.200064,517,S15,SIR,SIR,Staten Island,Open Cut,Ferry,South Shore,
518,Pleasant Plains,Staten Island,40.52241,-74.217847,518,S14,SIR,SIR,Staten Island,Embankment,Ferry,South Shore,
519,Richmond Valley,Staten Island,40.519631,-74.229141,519,S13,SIR,SIR,Staten Island,Open Cut,Ferry,Tottenville,
522,Tottenville,Staten Island,40.512764,-74.251961,522,S09,SIR,SIR,Staten Island,At Grade,Ferry,Last Stop,
523,Arthur Kill,Staten Island,40.516578,-74.242096,523,S11,SIR,SIR,Staten Island,At Grade,Ferry,Tottenville,
