station_id,station_name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,line,division,structure,ada_status,upgrade_year,upgrade_source,capital_program,project_id,contract_number,construction_start_date,construction_end_date,project_cost_millions,contractor,accessibility_features,notes
211,Bedford Park Blvd,Bronx,40.873244,-73.887138,211,D03,B D,Concourse,IND,Subway,accessible,,,,,,,,,,elevators,ADA accessible. Exact year unclear. [CONFIDENCE: LOW]
212,Kingsbridge Rd,Bronx,40.866978,-73.893509,212,D04,B D,Concourse,IND,Subway,accessible,,,,,,,,,,elevators,ADA accessible. Exact year unclear. [CONFIDENCE: LOW]
215,Tremont Av,Bronx,40.85041,-73.905227,215,D07,B D,Concourse,IND,Subway,accessible,2023,Governor Hochul press release,2020-2024 MTA Capital Program,,,,,,,elevators,Listed under construction with expected completion by end of 2023.
219,161 St-Yankee Stadium,Bronx,40.827905,-73.925651,604,D11,B D,Concourse,IND,Subway,accessible,2002,Wikipedia,2000-2004 MTA Capital Program,,,,,,,elevators,Elevators installed in early 2000s as part of 3-year renovation. Station opened as fully accessible in late 2002. Fourth Bronx station to be fully ADA-compliant.
295,231 St,Bronx,40.878856,-73.904834,295,104,1,Broadway - 7Av,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible. Exact year unclear. [CONFIDENCE: LOW]
360,Pelham Bay Park,Bronx,40.852462,-73.828121,360,601,6,Pelham,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible. Terminal station. Exact year of ADA upgrade unclear from available sources. [CONFIDENCE: LOW]
363,Westchester Sq-E Tremont Av,Bronx,40.839892,-73.842952,363,604,6,Pelham,IRT,Elevated,accessible,2025,"Governor Hochul press release, 2025",2020-2024 MTA Capital Program,,,,,,,elevators,
366,Parkchester,Bronx,40.833226,-73.860816,366,608,6,Pelham,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible with elevators. Exact year unclear. [CONFIDENCE: LOW]
371,Hunts Point Av,Bronx,40.820948,-73.890549,371,613,6,Pelham,IRT,Subway,accessible,,,,,,,,,,elevators,ADA accessible. Exact year of upgrade unclear. [CONFIDENCE: LOW]
373,E 149 St,Bronx,40.812118,-73.904098,373,615,6,Pelham,IRT,Subway,accessible,2023,Governor Hochul press release,2020-2024 MTA Capital Program,,,,,,,elevators,
379,Mosholu Pkwy,Bronx,40.87975,-73.884655,379,402,4,Jerome Av,IRT,Elevated,accessible,2025,"Governor Hochul press release, 2025",2020-2024 MTA Capital Program,,,,,,,elevators,
382,Fordham Rd,Bronx,40.862803,-73.901034,382,407,4,Jerome Av,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible with elevator on SE corner of Jerome Ave and Fordham Rd. Exact year unclear. [CONFIDENCE: LOW]
387,170 St,Bronx,40.840075,-73.917791,387,412,4,Jerome Av,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible with elevator on SE corner of 170 St and Jerome Ave. Exact year unclear. Listed in 2015-2019 Capital Program accessibility projects. [CONFIDENCE: LOW]
389,161 St-Yankee Stadium,Bronx,40.827994,-73.925831,604,414,4,Jerome Av,IRT,Elevated,accessible,2002,Wikipedia,2000-2004 MTA Capital Program,,,,,,,elevators,Same complex as station ID 219. IRT platform accessible via shared elevator infrastructure. Opened as fully accessible in late 2002.
418,233 St,Bronx,40.893193,-73.857473,418,205,2 5,Lenox - White Plains Rd,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible. Exact year unclear. [CONFIDENCE: LOW]
421,Gun Hill Rd,Bronx,40.87785,-73.866256,421,208,2 5,Lenox - White Plains Rd,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible. Exact year unclear. [CONFIDENCE: LOW]
424,Pelham Pkwy,Bronx,40.857192,-73.867615,424,211,2 5,Lenox - White Plains Rd,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible with elevator on SW corner of Pelham Pkwy and White Plains Rd. Exact year unclear. [CONFIDENCE: LOW]
426,E 180 St,Bronx,40.841894,-73.873488,426,213,2 5,Lenox - White Plains Rd,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible. Major interchange station. Exact year unclear. [CONFIDENCE: LOW]
430,Simpson St,Bronx,40.824073,-73.893064,430,217,2 5,Lenox - White Plains Rd,IRT,Elevated,accessible,,,,,,,,,,elevators,ADA accessible with elevators on NW and SE corners of Simpson St and Westchester Ave. Exact year unclear. [CONFIDENCE: LOW]
434,3 Av-149 St,Bronx,40.816109,-73.917757,434,221,2 5,Lenox - White Plains Rd,IRT,Subway,accessible,,,,,,,,,,elevators,ADA accessible with elevators on SW and NE corners of Southern Blvd and E 149 St. Exact year unclear. [CONFIDENCE: LOW]
444,Gun Hill Rd,Bronx,40.869526,-73.846384,444,503,5,Dyre Av,IRT,Open Cut,accessible,,,,,,,,,,elevators,ADA accessible. Dyre Avenue line. Exact year unclear. [CONFIDENCE: LOW]
