station_id,station_name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,line,division,structure,ada_status,upgrade_year,upgrade_source,capital_program,project_id,contract_number,construction_start_date,construction_end_date,project_cost_millions,contractor,accessibility_features,notes
25,Jay St-MetroTech,Brooklyn,40.69218,-73.985942,636,R29,R,Broadway,BMT,Subway,accessible,2010,"Station renovation completion, Wikipedia",MTA Capital Program,,,,2010-12-10,164.5,,"elevators, escalators",Part of $164.5M Jay St-MetroTech renovation connecting two formerly separate stations into a unified complex. Three ADA-compliant elevators and two escalators installed. Cost is for entire complex shared across station IDs 25 and 174.
26,DeKalb Av,Brooklyn,40.690635,-73.981824,26,R30,B Q R,Broadway - Brighton,BMT,Subway,accessible,2005,Wikipedia (DeKalb Avenue station BMT lines); MTA capital program records,2000-2004 MTA Capital Program,,,2004,2006,36,,elevators,"Major overhaul 2004-2006 designed by architect Lee Harris Pomeroy. Three elevators installed: one street-to-mezzanine on SE corner of DeKalb Ave and Flatbush Ave, two mezzanine-to-platform. $36 million renovation project. Using 2005 as midpoint of 2004-2006 construction period."
27,Atlantic Av-Barclays Ctr,Brooklyn,40.683666,-73.97881,617,R31,D N R,4th Av,BMT,Subway,accessible,2012,"Barclays Center arena opening and station overhaul, Wikipedia",MTA Capital Program,,,,2012,77.9,,elevators,"Part of major station overhaul completed 2012 coinciding with Barclays Center arena opening. Eight elevators installed at $77.9M. Cost is for entire complex shared across station IDs 27, 40, 338."
35,59 St,Brooklyn,40.641362,-74.017881,35,R41,N R,4th Av,BMT,Subway,accessible,2020,Brooklyn Reporter (November 2020); MTA press release; MTA Flickr photos,2015-2019 MTA Capital Program,,,2018,2020-11-06,55.2,,elevators,"Three ADA-accessible elevators: one mezzanine-to-street, two mezzanine-to-platform. $55.2 million contract awarded late 2018. Originally expected July 2020, delayed to November 6, 2020. Mezzanine expanded, new stairs, PA system, and fire alarms also installed."
38,86 St,Brooklyn,40.622687,-74.028398,38,R44,R,4th Av,BMT,Subway,accessible,2020,Bklyner,2015-2019 MTA Capital Program,,,,2020-08,,,elevators,"Made ADA accessible around same time as Bedford Av L station, August 2020."
39,Bay Ridge-95 St,Brooklyn,40.616622,-74.030876,39,R45,R,4th Av,BMT,Subway,accessible,2025,"Governor Hochul press release, 2025",2020-2024 MTA Capital Program,,,,,,,elevators,
40,Atlantic Av-Barclays Ctr,Brooklyn,40.68446,-73.97689,617,D24,B Q,Broadway - Brighton,BMT,Subway,accessible,2012,"Barclays Center arena opening and station overhaul, Wikipedia",MTA Capital Program,,,,2012,77.9,,elevators,"Part of major station overhaul completed 2012 coinciding with Barclays Center arena opening. Eight elevators installed at $77.9M. Cost is for entire complex shared across station IDs 27, 40, 338."
42,Prospect Park,Brooklyn,40.661614,-73.962246,42,D26,B Q S,Broadway - Brighton,BMT,Open Cut,accessible,1996,Wikipedia,1992-1999 MTA Capital Program,,,1992-11-01,1996,12,,elevators,ADA elevators go up from each platform to station house on north side of Lincoln Road overpass. Renovation Nov 1992 to 1996. $12M project.
44,Church Av,Brooklyn,40.650527,-73.962982,44,D28,B Q,Broadway - Brighton,BMT,Open Cut,accessible,2025,Wikipedia (Church Avenue station BMT Brighton Line); MTA press release; Brooklyn Eagle,2020-2024 MTA Capital Program,,,2024,2025-11-10,,ASTM/Halmar International JV,elevators,"Elevators on east side of E 18th St between Caton and Church Aves. Part of $965 million contract for 21 elevators across 8 stations awarded November 2022. Station bypassed during construction (southbound Aug-Nov 2024, northbound through Feb 2025). Elevators and new entrance opened November 10, 2025. Different from Church Av F/G (ID 356) and Church Av B/Q (ID 243)."
48,Avenue H,Brooklyn,40.62927,-73.961639,48,D32,Q,Broadway - Brighton,BMT,Open Cut,accessible,2021,MTA press release: Avenue H Station on Q Line Now Fully Accessible; Brooklyn Paper,2020-2024 MTA Capital Program,,,,2021-06,18,,ramps,ADA accessibility achieved via ramps (not elevators) due to ground-level station with landmarked 1906 wooden station house. Southbound ramp completed September 2011; northbound ramp completed June 2021. Full ADA compliance achieved 2021. First completed ADA project from the 2020-2024 Capital Plan. Total cost $18 million including $12.2 million for construction.
