station_id,station_name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,line,division,structure,ada_status,upgrade_year,upgrade_source,capital_program,project_id,contract_number,construction_start_date,construction_end_date,project_cost_millions,contractor,accessibility_features,notes
9,57 St-7 Av,Manhattan,40.764664,-73.980658,9,R14,N Q R W,Broadway - Brighton,BMT,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Key Station Program. Exact upgrade year unclear. [CONFIDENCE: LOW]
11,Times Sq-42 St,Manhattan,40.754672,-73.986754,611,R16,N Q R W,Broadway - Brighton,BMT,Subway,accessible,2022,"MTA press release, Mass Transit Magazine",2020-2024 MTA Capital Program,,,,2022-05-16,40,,"elevators,accessible street entrance","New $40M ADA-accessible entrance with elevator opened May 16, 2022. Part of private-public partnership with Jamestown/One Times Square redevelopment. Sixth ADA elevator at station."
12,34 St-Herald Sq,Manhattan,40.749567,-73.98795,607,R17,N Q R W,Broadway - Brighton,BMT,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Herald Center elevator. Same complex as ID 227 (B/D/F/M). Exact upgrade year unclear. [CONFIDENCE: LOW]
15,14 St-Union Sq,Manhattan,40.735736,-73.990568,602,R20,N Q R W,Broadway - Brighton,BMT,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Major interchange at Union Square. Same complex as ID 117 (L train). Exact upgrade year unclear. [CONFIDENCE: LOW]
21,Cortlandt St,Manhattan,40.710668,-74.011029,624,R25,R W,Broadway,BMT,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Near WTC complex. Exact upgrade year unclear. [CONFIDENCE: LOW]
105,Chambers St,Manhattan,40.713243,-74.003401,622,M21,J Z,Jamaica,BMT,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. J/Z trains on Jamaica Line. Exact upgrade year unclear. [CONFIDENCE: LOW]
106,Fulton St,Manhattan,40.710374,-74.007582,628,M22,J Z,Jamaica,BMT,Subway,accessible,2014,"Fulton Center opening, MTA project completion, Wikipedia",MTA Capital Program,,,,2014-11,1400,,"elevators, escalators","Part of $1.4B Fulton Center project. 15 elevators and 10 escalators installed across complex connecting 5 stations serving 9 lines. Cost is for entire Fulton Center complex shared across station IDs 106, 172, 332, 412."
115,8 Av,Manhattan,40.739777,-74.002578,618,L01,L,Canarsie,BMT,Subway,accessible,2024,MTA press release: 14 St Station Complex Now Fully Accessible,2020-2024 MTA Capital Program,,,,2024-12,300,,elevators,"L train platform at 14 St/8 Av. Part of 14 St Complex megaproject. Same complex as IDs 166, 322, 116."
116,6 Av,Manhattan,40.737335,-73.996786,601,L02,L,Canarsie,BMT,Subway,accessible,2024,MTA press release: 14 St Station Complex Now Fully Accessible,2020-2024 MTA Capital Program,,,,2024-12,300,,elevators,"L train platform at 14 St/6 Av. Part of 14 St Complex megaproject. Same complex as IDs 166, 322, 115."
117,14 St-Union Sq,Manhattan,40.734789,-73.99073,602,L03,L,Canarsie,BMT,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. L train at Union Sq. Same complex as ID 15 (N/Q/R/W). Exact upgrade year unclear. [CONFIDENCE: LOW]
119,1 Av,Manhattan,40.730953,-73.981628,119,L06,L,Canarsie,BMT,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. L train in East Village. Exact upgrade year unclear. [CONFIDENCE: LOW]
143,Inwood-207 St,Manhattan,40.868072,-73.919899,143,A02,A,8th Av - Fulton St,IND,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Terminal station for A train. MTA requested elevator funding 1995. Exact completion year unclear. [CONFIDENCE: LOW]
146,181 St,Manhattan,40.851695,-73.937969,146,A06,A,8th Av - Fulton St,IND,Subway,accessible,2023,"MTA press release, Governor Hochul",2020-2024 MTA Capital Program,,,,2023-12-07,,,"elevators,ADA-compliant ramp",Two new elevators from lower mezzanine to platform. New ADA ramp at Overlook Terrace entrance.
147,175 St,Manhattan,40.847391,-73.939704,147,A07,A,8th Av - Fulton St,IND,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Deep station. Elevator on NE corner 177th St and Ft Washington Av. Exact upgrade year unclear. [CONFIDENCE: LOW]
148,168 St,Manhattan,40.840719,-73.939561,605,A09,A C,8th Av - Fulton St,IND,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Complex serving A/C and 1 trains. Elevator on SE corner 168th St and St Nicholas Ave. Exact upgrade year unclear. [CONFIDENCE: LOW]
153,125 St,Manhattan,40.811109,-73.952343,153,A15,A C B D,8th Av - Fulton St,IND,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Major Harlem station serving A/B/C/D. Elevator on SW corner 125th St and St Nicholas Ave. Exact upgrade year unclear. [CONFIDENCE: LOW]
161,59 St-Columbus Circle,Manhattan,40.768296,-73.981736,614,A24,A C B D,8th Av - Fulton St,IND,Subway,accessible,2012,"Wikipedia, Dattner Architects",2005-2009 MTA Capital Program,,,,,125,,elevators,"Renovation completed 2012, $125M project including elevators. Hearst Corp funded addition of three elevators as part of building renovation."
163,42 St-Port Authority Bus Terminal,Manhattan,40.757308,-73.989735,611,A27,A C E,8th Av - Fulton St,IND,Subway,accessible,,MTA ADA station list,Key Station Program,,,,,,,elevators,ADA accessible. Elevators inside Port Authority building. Major Midtown transit hub. Exact upgrade year unclear. [CONFIDENCE: LOW]
