station_id,station_name,borough,latitude,longitude,complex_id,gtfs_stop_id,daytime_routes,line,division,structure,ada_status,upgrade_year,upgrade_source,capital_program,project_id,contract_number,construction_start_date,construction_end_date,project_cost_millions,contractor,accessibility_features,notes
2,Astoria Blvd,Queens,40.770258,-73.917843,2,R03,N W,Astoria,BMT,Elevated,accessible,2020,"Wikipedia, Astoria Post, Queens Chronicle, LiRo engineering",2015-2019 MTA Capital Program,,,,2020-07-24,,,"elevators,ADA platform boarding zones,rebuilt walkways,rebuilt staircases",Four elevators installed. Station closed 9 months (Mar-Dec 2019) for mezzanine replacement. First N/W station in Astoria to be fully ADA compliant.
83,Woodhaven Blvd,Queens,40.693879,-73.851576,83,J15,J Z,Jamaica,BMT,Elevated,accessible,2025,"Governor Hochul press release, 2025",2020-2024 MTA Capital Program,,,,,,,elevators,
108,Middle Village-Metropolitan Av,Queens,40.711396,-73.889601,108,M01,M,Myrtle Av,BMT,Elevated,accessible,,,,,,,,,,,ADA accessible. Terminal station at grade level. Accessibility may be inherent to station design. Exact year unclear. [CONFIDENCE: LOW]
195,Ozone Park-Lefferts Blvd,Queens,40.685951,-73.825798,195,A65,A,Liberty Av,IND,Elevated,accessible,,,,,,,,,,,ADA accessible. Terminal station. Exact year of ADA upgrade unclear. [CONFIDENCE: LOW]
196,Aqueduct Racetrack,Queens,40.672097,-73.835919,196,H01,A,Rockaway,IND,At Grade,accessible,2013,Wikipedia - Aqueduct Racetrack station,,,,,2013-08-13,,,Elevator from street to platform,"Station renovated for Resorts World Casino opening (2011). Elevator added as part of renovation. Reopened August 13, 2013."
198,Howard Beach-JFK Airport,Queens,40.660476,-73.830301,198,H03,A,Rockaway,IND,At Grade,accessible,,,,,,,,,,"ADA accessible, connected to AirTrain JFK",Station is ADA accessible. Connected to AirTrain JFK. Exact year of ADA upgrade unclear from available sources. [CONFIDENCE: LOW]
203,Rockaway Park-Beach 116 St,Queens,40.580903,-73.835592,203,H15,A S,Rockaway,IND,At Grade,accessible,,,,,,,,,,At-grade station with street-level entrance,At-grade station with street-level entrance. Accessibility may be inherent to station design rather than a specific upgrade. [CONFIDENCE: LOW]
204,Beach 67 St,Queens,40.590927,-73.796924,204,H06,A,Rockaway,IND,Viaduct,accessible,2024,MTA press release,2020-2024 MTA Capital Program,,,,2024-01-11,,,"Two elevators (street to mezzanine, mezzanine to platform), new staircase, ADA platform edges, fire alarm, smoke/heat detectors, cameras in elevator cabs","Elevators finished January 11, 2024, dedicated January 19, 2024. FTA-funded project."
209,Far Rockaway-Mott Av,Queens,40.603995,-73.755405,209,H11,A,Rockaway,IND,Viaduct,accessible,2012,Wikipedia - Far Rockaway-Mott Avenue station,,,,,2012-05-11,,,"Elevators from station house to platforms, tactile warning strips","Renovated station unveiled May 11, 2012. Renovation completed before Hurricane Sandy (October 2012). Station survived Sandy."
221,21 St-Queensbridge,Queens,40.754203,-73.942836,221,B04,M,63rd St,IND,Subway,accessible,1989,Wikipedia - 63rd Street lines,1982-1986 MTA Capital Program,,,,1989-10-29,,,"Elevators, accessible platforms",Built accessible from opening. Pre-dates ADA (1990) but designed with accessibility features. Known as 'tunnel to nowhere' 1989-2001 due to limited service before connection to Queens Boulevard lines.
254,Jamaica-179 St,Queens,40.712646,-73.783817,254,F01,F,Queens Blvd,IND,Subway,accessible,,,,,,,,,,,ADA accessible. Terminal station. Exact year unclear. [CONFIDENCE: LOW]
259,Kew Gardens-Union Tpke,Queens,40.714441,-73.831008,259,F06,E F,Queens Blvd,IND,Subway,accessible,,,,,,,,,,,ADA accessible. Exact year unclear. [CONFIDENCE: LOW]
